date,time_start,time_end,SEK_per_kWh,EUR_per_kWh,SEK_per_MWh,EUR_per_MWh,currency,bidding_zone,source,retrieved_at
2026-09-08,2026-09-08T00:00:00+02:00,2026-09-08T00:15:00+02:00,0.04105,0.00368,41.05,3.68,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/09-08_SE3.json,2026-09-15T23:04:11.767165+02:00
2026-09-08,2026-09-08T00:15:00+02:00,2026-09-08T00:30:00+02:00,0.04061,0.00364,40.61,3.64,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/09-08_SE3.json,2026-09-15T23:04:11.767165+02:00
2026-09-08,2026-09-08T00:30:00+02:00,2026-09-08T00:45:00+02:00,0.04016,0.00360,40.16,3.60,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/09-08_SE3.json,2026-09-15T23:04:11.767165+02:00
2026-09-08,2026-09-08T00:45:00+02:00,2026-09-08T01:00:00+02:00,0.04016,0.00360,40.16,3.60,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/09-08_SE3.json,2026-09-15T23:04:11.767165+02:00
2026-09-08,2026-09-08T01:00:00+02:00,2026-09-08T01:15:00+02:00,0.03882,0.00348,38.82,3.48,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/09-08_SE3.json,2026-09-15T23:04:11.767165+02:00
2026-09-08,2026-09-08T01:15:00+02:00,2026-09-08T01:30:00+02:00,0.03481,0.00312,34.81,3.12,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/09-08_SE3.json,2026-09-15T23:04:11.767165+02:00
2026-09-08,2026-09-08T01:30:00+02:00,2026-09-08T01:45:00+02:00,0.03269,0.00293,32.69,2.93,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/09-08_SE3.json,2026-09-15T23:04:11.767165+02:00
2026-09-08,2026-09-08T01:45:00+02:00,2026-09-08T02:00:00+02:00,0.03079,0.00276,30.79,2.76,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/09-08_SE3.json,2026-09-15T23:04:11.767165+02:00
2026-09-08,2026-09-08T02:00:00+02:00,2026-09-08T02:15:00+02:00,0.03336,0.00299,33.36,2.99,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/09-08_SE3.json,2026-09-15T23:04:11.767165+02:00
2026-09-08,2026-09-08T02:15:00+02:00,2026-09-08T02:30:00+02:00,0.03124,0.00280,31.24,2.80,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/09-08_SE3.json,2026-09-15T23:04:11.767165+02:00
2026-09-08,2026-09-08T02:30:00+02:00,2026-09-08T02:45:00+02:00,0.03447,0.00309,34.47,3.09,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/09-08_SE3.json,2026-09-15T23:04:11.767165+02:00
2026-09-08,2026-09-08T02:45:00+02:00,2026-09-08T03:00:00+02:00,0.03046,0.00273,30.46,2.73,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/09-08_SE3.json,2026-09-15T23:04:11.767165+02:00
2026-09-08,2026-09-08T03:00:00+02:00,2026-09-08T03:15:00+02:00,0.03068,0.00275,30.68,2.75,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/09-08_SE3.json,2026-09-15T23:04:11.767165+02:00
