date,time_start,time_end,SEK_per_kWh,EUR_per_kWh,SEK_per_MWh,EUR_per_MWh,currency,bidding_zone,source,retrieved_at
2026-08-27,2026-08-27T00:00:00+02:00,2026-08-27T00:15:00+02:00,1.21770,0.11000,1217.70,110.00,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/08-27_SE3.json,2026-09-15T23:04:11.216954+02:00
2026-08-27,2026-08-27T00:15:00+02:00,2026-08-27T00:30:00+02:00,1.11652,0.10086,1116.52,100.86,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/08-27_SE3.json,2026-09-15T23:04:11.216954+02:00
2026-08-27,2026-08-27T00:30:00+02:00,2026-08-27T00:45:00+02:00,1.10700,0.10000,1107.00,100.00,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/08-27_SE3.json,2026-09-15T23:04:11.216954+02:00
2026-08-27,2026-08-27T00:45:00+02:00,2026-08-27T01:00:00+02:00,1.10689,0.09999,1106.89,99.99,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/08-27_SE3.json,2026-09-15T23:04:11.216954+02:00
2026-08-27,2026-08-27T01:00:00+02:00,2026-08-27T01:15:00+02:00,1.10700,0.10000,1107.00,100.00,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/08-27_SE3.json,2026-09-15T23:04:11.216954+02:00
2026-08-27,2026-08-27T01:15:00+02:00,2026-08-27T01:30:00+02:00,1.10689,0.09999,1106.89,99.99,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/08-27_SE3.json,2026-09-15T23:04:11.216954+02:00
2026-08-27,2026-08-27T01:30:00+02:00,2026-08-27T01:45:00+02:00,1.10689,0.09999,1106.89,99.99,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/08-27_SE3.json,2026-09-15T23:04:11.216954+02:00
2026-08-27,2026-08-27T01:45:00+02:00,2026-08-27T02:00:00+02:00,1.10689,0.09999,1106.89,99.99,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/08-27_SE3.json,2026-09-15T23:04:11.216954+02:00
2026-08-27,2026-08-27T02:00:00+02:00,2026-08-27T02:15:00+02:00,1.01346,0.09155,1013.46,91.55,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/08-27_SE3.json,2026-09-15T23:04:11.216954+02:00
2026-08-27,2026-08-27T02:15:00+02:00,2026-08-27T02:30:00+02:00,0.98512,0.08899,985.12,88.99,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/08-27_SE3.json,2026-09-15T23:04:11.216954+02:00
