date,time_start,time_end,SEK_per_kWh,EUR_per_kWh,SEK_per_MWh,EUR_per_MWh,currency,bidding_zone,source,retrieved_at
2025-12-16,2025-12-16T00:00:00+01:00,2025-12-16T00:15:00+01:00,0.50145,0.04596,501.45,45.96,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T00:15:00+01:00,2025-12-16T00:30:00+01:00,0.49894,0.04573,498.94,45.73,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T00:30:00+01:00,2025-12-16T00:45:00+01:00,0.49708,0.04556,497.08,45.56,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T00:45:00+01:00,2025-12-16T01:00:00+01:00,0.49217,0.04511,492.17,45.11,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T01:00:00+01:00,2025-12-16T01:15:00+01:00,0.48508,0.04446,485.08,44.46,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T01:15:00+01:00,2025-12-16T01:30:00+01:00,0.48475,0.04443,484.75,44.43,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T01:30:00+01:00,2025-12-16T01:45:00+01:00,0.48519,0.04447,485.19,44.47,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T01:45:00+01:00,2025-12-16T02:00:00+01:00,0.48857,0.04478,488.57,44.78,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T02:00:00+01:00,2025-12-16T02:15:00+01:00,0.47526,0.04356,475.26,43.56,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T02:15:00+01:00,2025-12-16T02:30:00+01:00,0.47897,0.04390,478.97,43.90,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T02:30:00+01:00,2025-12-16T02:45:00+01:00,0.48006,0.04400,480.06,44.00,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T02:45:00+01:00,2025-12-16T03:00:00+01:00,0.48017,0.04401,480.17,44.01,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T03:00:00+01:00,2025-12-16T03:15:00+01:00,0.48072,0.04406,480.72,44.06,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T03:15:00+01:00,2025-12-16T03:30:00+01:00,0.48268,0.04424,482.68,44.24,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T03:30:00+01:00,2025-12-16T03:45:00+01:00,0.48377,0.04434,483.77,44.34,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T03:45:00+01:00,2025-12-16T04:00:00+01:00,0.48443,0.04440,484.43,44.40,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T04:00:00+01:00,2025-12-16T04:15:00+01:00,0.49021,0.04493,490.21,44.93,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T04:15:00+01:00,2025-12-16T04:30:00+01:00,0.49261,0.04515,492.61,45.15,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T04:30:00+01:00,2025-12-16T04:45:00+01:00,0.49534,0.04540,495.34,45.40,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T04:45:00+01:00,2025-12-16T05:00:00+01:00,0.50079,0.04590,500.79,45.90,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T05:00:00+01:00,2025-12-16T05:15:00+01:00,0.49861,0.04570,498.61,45.70,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T05:15:00+01:00,2025-12-16T05:30:00+01:00,0.51028,0.04677,510.28,46.77,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T05:30:00+01:00,2025-12-16T05:45:00+01:00,0.51759,0.04744,517.59,47.44,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T05:45:00+01:00,2025-12-16T06:00:00+01:00,0.52752,0.04835,527.52,48.35,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T06:00:00+01:00,2025-12-16T06:15:00+01:00,0.51236,0.04696,512.36,46.96,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T06:15:00+01:00,2025-12-16T06:30:00+01:00,0.52970,0.04855,529.70,48.55,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T06:30:00+01:00,2025-12-16T06:45:00+01:00,0.54541,0.04999,545.41,49.99,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T06:45:00+01:00,2025-12-16T07:00:00+01:00,0.56614,0.05189,566.14,51.89,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T07:00:00+01:00,2025-12-16T07:15:00+01:00,0.81403,0.07461,814.03,74.61,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T07:15:00+01:00,2025-12-16T07:30:00+01:00,0.85724,0.07857,857.24,78.57,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T07:30:00+01:00,2025-12-16T07:45:00+01:00,0.83640,0.07666,836.40,76.66,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T07:45:00+01:00,2025-12-16T08:00:00+01:00,0.82320,0.07545,823.20,75.45,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T08:00:00+01:00,2025-12-16T08:15:00+01:00,0.68725,0.06299,687.25,62.99,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T08:15:00+01:00,2025-12-16T08:30:00+01:00,0.77464,0.07100,774.64,71.00,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T08:30:00+01:00,2025-12-16T08:45:00+01:00,0.75468,0.06917,754.68,69.17,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T08:45:00+01:00,2025-12-16T09:00:00+01:00,0.71114,0.06518,711.14,65.18,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T09:00:00+01:00,2025-12-16T09:15:00+01:00,0.69227,0.06345,692.27,63.45,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T09:15:00+01:00,2025-12-16T09:30:00+01:00,0.69292,0.06351,692.92,63.51,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T09:30:00+01:00,2025-12-16T09:45:00+01:00,0.68725,0.06299,687.25,62.99,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T09:45:00+01:00,2025-12-16T10:00:00+01:00,0.65517,0.06005,655.17,60.05,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T10:00:00+01:00,2025-12-16T10:15:00+01:00,0.68845,0.06310,688.45,63.10,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T10:15:00+01:00,2025-12-16T10:30:00+01:00,0.64786,0.05938,647.86,59.38,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T10:30:00+01:00,2025-12-16T10:45:00+01:00,0.61142,0.05604,611.42,56.04,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T10:45:00+01:00,2025-12-16T11:00:00+01:00,0.59560,0.05459,595.60,54.59,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T11:00:00+01:00,2025-12-16T11:15:00+01:00,0.64001,0.05866,640.01,58.66,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T11:15:00+01:00,2025-12-16T11:30:00+01:00,0.64110,0.05876,641.10,58.76,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T11:30:00+01:00,2025-12-16T11:45:00+01:00,0.60411,0.05537,604.11,55.37,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T11:45:00+01:00,2025-12-16T12:00:00+01:00,0.59833,0.05484,598.33,54.84,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T12:00:00+01:00,2025-12-16T12:15:00+01:00,0.65452,0.05999,654.52,59.99,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T12:15:00+01:00,2025-12-16T12:30:00+01:00,0.63499,0.05820,634.99,58.20,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T12:30:00+01:00,2025-12-16T12:45:00+01:00,0.64175,0.05882,641.75,58.82,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T12:45:00+01:00,2025-12-16T13:00:00+01:00,0.65452,0.05999,654.52,59.99,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T13:00:00+01:00,2025-12-16T13:15:00+01:00,0.60466,0.05542,604.66,55.42,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T13:15:00+01:00,2025-12-16T13:30:00+01:00,0.61120,0.05602,611.20,56.02,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T13:30:00+01:00,2025-12-16T13:45:00+01:00,0.61088,0.05599,610.88,55.99,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T13:45:00+01:00,2025-12-16T14:00:00+01:00,0.61251,0.05614,612.51,56.14,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T14:00:00+01:00,2025-12-16T14:15:00+01:00,0.61371,0.05625,613.71,56.25,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T14:15:00+01:00,2025-12-16T14:30:00+01:00,0.62561,0.05734,625.61,57.34,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T14:30:00+01:00,2025-12-16T14:45:00+01:00,0.64546,0.05916,645.46,59.16,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T14:45:00+01:00,2025-12-16T15:00:00+01:00,0.65256,0.05981,652.56,59.81,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T15:00:00+01:00,2025-12-16T15:15:00+01:00,0.78915,0.07233,789.15,72.33,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T15:15:00+01:00,2025-12-16T15:30:00+01:00,0.88244,0.08088,882.44,80.88,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T15:30:00+01:00,2025-12-16T15:45:00+01:00,0.92510,0.08479,925.10,84.79,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T15:45:00+01:00,2025-12-16T16:00:00+01:00,0.97616,0.08947,976.16,89.47,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T16:00:00+01:00,2025-12-16T16:15:00+01:00,0.89924,0.08242,899.24,82.42,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T16:15:00+01:00,2025-12-16T16:30:00+01:00,0.90895,0.08331,908.95,83.31,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T16:30:00+01:00,2025-12-16T16:45:00+01:00,1.01260,0.09281,1012.60,92.81,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T16:45:00+01:00,2025-12-16T17:00:00+01:00,1.08832,0.09975,1088.32,99.75,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T17:00:00+01:00,2025-12-16T17:15:00+01:00,1.00475,0.09209,1004.75,92.09,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T17:15:00+01:00,2025-12-16T17:30:00+01:00,1.05439,0.09664,1054.39,96.64,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T17:30:00+01:00,2025-12-16T17:45:00+01:00,1.03017,0.09442,1030.17,94.42,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T17:45:00+01:00,2025-12-16T18:00:00+01:00,0.97507,0.08937,975.07,89.37,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T18:00:00+01:00,2025-12-16T18:15:00+01:00,0.94703,0.08680,947.03,86.80,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T18:15:00+01:00,2025-12-16T18:30:00+01:00,0.90251,0.08272,902.51,82.72,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T18:30:00+01:00,2025-12-16T18:45:00+01:00,0.87884,0.08055,878.84,80.55,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T18:45:00+01:00,2025-12-16T19:00:00+01:00,0.86586,0.07936,865.86,79.36,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T19:00:00+01:00,2025-12-16T19:15:00+01:00,0.70176,0.06432,701.76,64.32,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T19:15:00+01:00,2025-12-16T19:30:00+01:00,0.65463,0.06000,654.63,60.00,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T19:30:00+01:00,2025-12-16T19:45:00+01:00,0.63586,0.05828,635.86,58.28,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T19:45:00+01:00,2025-12-16T20:00:00+01:00,0.62015,0.05684,620.15,56.84,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T20:00:00+01:00,2025-12-16T20:15:00+01:00,0.60619,0.05556,606.19,55.56,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T20:15:00+01:00,2025-12-16T20:30:00+01:00,0.57804,0.05298,578.04,52.98,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T20:30:00+01:00,2025-12-16T20:45:00+01:00,0.55556,0.05092,555.56,50.92,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T20:45:00+01:00,2025-12-16T21:00:00+01:00,0.53985,0.04948,539.85,49.48,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T21:00:00+01:00,2025-12-16T21:15:00+01:00,0.54541,0.04999,545.41,49.99,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T21:15:00+01:00,2025-12-16T21:30:00+01:00,0.53941,0.04944,539.41,49.44,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T21:30:00+01:00,2025-12-16T21:45:00+01:00,0.53363,0.04891,533.63,48.91,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T21:45:00+01:00,2025-12-16T22:00:00+01:00,0.52763,0.04836,527.63,48.36,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T22:00:00+01:00,2025-12-16T22:15:00+01:00,0.52578,0.04819,525.78,48.19,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T22:15:00+01:00,2025-12-16T22:30:00+01:00,0.51890,0.04756,518.90,47.56,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T22:30:00+01:00,2025-12-16T22:45:00+01:00,0.51126,0.04686,511.26,46.86,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T22:45:00+01:00,2025-12-16T23:00:00+01:00,0.50254,0.04606,502.54,46.06,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T23:00:00+01:00,2025-12-16T23:15:00+01:00,0.50188,0.04600,501.88,46.00,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T23:15:00+01:00,2025-12-16T23:30:00+01:00,0.49490,0.04536,494.90,45.36,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T23:30:00+01:00,2025-12-16T23:45:00+01:00,0.48999,0.04491,489.99,44.91,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
2025-12-16,2025-12-16T23:45:00+01:00,2025-12-17T00:00:00+01:00,0.48235,0.04421,482.35,44.21,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2025/12-16_SE3.json,2026-09-15T23:03:59.329093+02:00
