date,time_start,time_end,SEK_per_kWh,EUR_per_kWh,SEK_per_MWh,EUR_per_MWh,currency,bidding_zone,source,retrieved_at
2026-06-25,2026-06-25T00:00:00+02:00,2026-06-25T00:15:00+02:00,1.14281,0.10304,1142.81,103.04,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-25_SE3.json,2026-09-15T23:04:08.355253+02:00
2026-06-25,2026-06-25T00:15:00+02:00,2026-06-25T00:30:00+02:00,1.11031,0.10011,1110.31,100.11,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-25_SE3.json,2026-09-15T23:04:08.355253+02:00
2026-06-25,2026-06-25T00:30:00+02:00,2026-06-25T00:45:00+02:00,1.08314,0.09766,1083.14,97.66,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-25_SE3.json,2026-09-15T23:04:08.355253+02:00
2026-06-25,2026-06-25T00:45:00+02:00,2026-06-25T01:00:00+02:00,1.04321,0.09406,1043.21,94.06,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-25_SE3.json,2026-09-15T23:04:08.355253+02:00
2026-06-25,2026-06-25T01:00:00+02:00,2026-06-25T01:15:00+02:00,1.07627,0.09704,1076.27,97.04,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-25_SE3.json,2026-09-15T23:04:08.355253+02:00
2026-06-25,2026-06-25T01:15:00+02:00,2026-06-25T01:30:00+02:00,1.06063,0.09563,1060.63,95.63,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-25_SE3.json,2026-09-15T23:04:08.355253+02:00
2026-06-25,2026-06-25T01:30:00+02:00,2026-06-25T01:45:00+02:00,1.03345,0.09318,1033.45,93.18,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-25_SE3.json,2026-09-15T23:04:08.355253+02:00
2026-06-25,2026-06-25T01:45:00+02:00,2026-06-25T02:00:00+02:00,1.01649,0.09165,1016.49,91.65,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-25_SE3.json,2026-09-15T23:04:08.355253+02:00
2026-06-25,2026-06-25T02:00:00+02:00,2026-06-25T02:15:00+02:00,1.05553,0.09517,1055.53,95.17,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-25_SE3.json,2026-09-15T23:04:08.355253+02:00
2026-06-25,2026-06-25T02:15:00+02:00,2026-06-25T02:30:00+02:00,1.02968,0.09284,1029.68,92.84,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-25_SE3.json,2026-09-15T23:04:08.355253+02:00
2026-06-25,2026-06-25T02:30:00+02:00,2026-06-25T02:45:00+02:00,1.01782,0.09177,1017.82,91.77,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-25_SE3.json,2026-09-15T23:04:08.355253+02:00
2026-06-25,2026-06-25T02:45:00+02:00,2026-06-25T03:00:00+02:00,1.00894,0.09097,1008.94,90.97,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-25_SE3.json,2026-09-15T23:04:08.355253+02:00
2026-06-25,2026-06-25T03:00:00+02:00,2026-06-25T03:15:00+02:00,1.01848,0.09183,1018.48,91.83,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-25_SE3.json,2026-09-15T23:04:08.355253+02:00
2026-06-25,2026-06-25T03:15:00+02:00,2026-06-25T03:30:00+02:00,1.01038,0.09110,1010.38,91.10,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-25_SE3.json,2026-09-15T23:04:08.355253+02:00
2026-06-25,2026-06-25T03:30:00+02:00,2026-06-25T03:45:00+02:00,1.00196,0.09034,1001.96,90.34,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-25_SE3.json,2026-09-15T23:04:08.355253+02:00
