date,time_start,time_end,SEK_per_kWh,EUR_per_kWh,SEK_per_MWh,EUR_per_MWh,currency,bidding_zone,source,retrieved_at
2026-06-11,2026-06-11T00:00:00+02:00,2026-06-11T00:15:00+02:00,0.84057,0.07659,840.57,76.59,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-11_SE3.json,2026-09-15T23:04:07.764900+02:00
2026-06-11,2026-06-11T00:15:00+02:00,2026-06-11T00:30:00+02:00,0.84101,0.07663,841.01,76.63,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-11_SE3.json,2026-09-15T23:04:07.764900+02:00
2026-06-11,2026-06-11T00:30:00+02:00,2026-06-11T00:45:00+02:00,0.82432,0.07511,824.32,75.11,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-11_SE3.json,2026-09-15T23:04:07.764900+02:00
2026-06-11,2026-06-11T00:45:00+02:00,2026-06-11T01:00:00+02:00,0.80951,0.07376,809.51,73.76,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-11_SE3.json,2026-09-15T23:04:07.764900+02:00
2026-06-11,2026-06-11T01:00:00+02:00,2026-06-11T01:15:00+02:00,0.82498,0.07517,824.98,75.17,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-11_SE3.json,2026-09-15T23:04:07.764900+02:00
2026-06-11,2026-06-11T01:15:00+02:00,2026-06-11T01:30:00+02:00,0.80391,0.07325,803.91,73.25,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-11_SE3.json,2026-09-15T23:04:07.764900+02:00
2026-06-11,2026-06-11T01:30:00+02:00,2026-06-11T01:45:00+02:00,0.79370,0.07232,793.70,72.32,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-11_SE3.json,2026-09-15T23:04:07.764900+02:00
2026-06-11,2026-06-11T01:45:00+02:00,2026-06-11T02:00:00+02:00,0.77845,0.07093,778.45,70.93,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-11_SE3.json,2026-09-15T23:04:07.764900+02:00
2026-06-11,2026-06-11T02:00:00+02:00,2026-06-11T02:15:00+02:00,0.77428,0.07055,774.28,70.55,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-11_SE3.json,2026-09-15T23:04:07.764900+02:00
2026-06-11,2026-06-11T02:15:00+02:00,2026-06-11T02:30:00+02:00,0.76166,0.06940,761.66,69.40,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/06-11_SE3.json,2026-09-15T23:04:07.764900+02:00
