date,time_start,time_end,SEK_per_kWh,EUR_per_kWh,SEK_per_MWh,EUR_per_MWh,currency,bidding_zone,source,retrieved_at
2026-05-11,2026-05-11T00:00:00+02:00,2026-05-11T00:15:00+02:00,1.14104,0.10500,1141.04,105.00,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/05-11_SE3.json,2026-09-15T23:04:06.386844+02:00
2026-05-11,2026-05-11T00:15:00+02:00,2026-05-11T00:30:00+02:00,1.09094,0.10039,1090.94,100.39,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/05-11_SE3.json,2026-09-15T23:04:06.386844+02:00
2026-05-11,2026-05-11T00:30:00+02:00,2026-05-11T00:45:00+02:00,1.05791,0.09735,1057.91,97.35,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/05-11_SE3.json,2026-09-15T23:04:06.386844+02:00
2026-05-11,2026-05-11T00:45:00+02:00,2026-05-11T01:00:00+02:00,1.03943,0.09565,1039.43,95.65,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/05-11_SE3.json,2026-09-15T23:04:06.386844+02:00
2026-05-11,2026-05-11T01:00:00+02:00,2026-05-11T01:15:00+02:00,1.07160,0.09861,1071.60,98.61,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/05-11_SE3.json,2026-09-15T23:04:06.386844+02:00
2026-05-11,2026-05-11T01:15:00+02:00,2026-05-11T01:30:00+02:00,1.05171,0.09678,1051.71,96.78,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/05-11_SE3.json,2026-09-15T23:04:06.386844+02:00
2026-05-11,2026-05-11T01:30:00+02:00,2026-05-11T01:45:00+02:00,1.00194,0.09220,1001.94,92.20,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/05-11_SE3.json,2026-09-15T23:04:06.386844+02:00
2026-05-11,2026-05-11T01:45:00+02:00,2026-05-11T02:00:00+02:00,0.98760,0.09088,987.60,90.88,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/05-11_SE3.json,2026-09-15T23:04:06.386844+02:00
2026-05-11,2026-05-11T02:00:00+02:00,2026-05-11T02:15:00+02:00,1.01879,0.09375,1018.79,93.75,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/05-11_SE3.json,2026-09-15T23:04:06.386844+02:00
2026-05-11,2026-05-11T02:15:00+02:00,2026-05-11T02:30:00+02:00,1.01151,0.09308,1011.51,93.08,SEK/EUR,SE3,https://www.elprisetjustnu.se/api/v1/prices/2026/05-11_SE3.json,2026-09-15T23:04:06.386844+02:00
